"Pathway","Bacterium","Value","Map","Pathway_Class"
"Naphthalene degradation","Lacticaseibacillus paracasei Lpc-37",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Lacticaseibacillus paracasei Lpc-37",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Lacticaseibacillus paracasei Lpc-37",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Lacticaseibacillus paracasei Lpc-37",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Polyketide sugar unit biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.21,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Acarbose and validamycin biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.21,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Lacticaseibacillus paracasei Lpc-37",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Lacticaseibacillus paracasei Lpc-37",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Lacticaseibacillus paracasei Lpc-37",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Lacticaseibacillus paracasei Zhang",65.21,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Lacticaseibacillus paracasei Zhang",27.03,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Lacticaseibacillus paracasei Zhang",19.42,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Lacticaseibacillus paracasei Zhang",6.18,"map00230","Metabolism; Nucleotide metabolism"
"Pentose phosphate pathway","Lacticaseibacillus paracasei Zhang",4.84,"map00030","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Lacticaseibacillus paracasei Zhang",4.84,"map00052","Metabolism; Carbohydrate metabolism"
"Pyruvate metabolism","Lacticaseibacillus paracasei Zhang",4.84,"map00620","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Lacticaseibacillus paracasei Zhang",4.76,"map00240","Metabolism; Nucleotide metabolism"
"Inositol phosphate metabolism","Lacticaseibacillus paracasei Zhang",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"Amino sugar and nucleotide sugar metabolism","Lacticaseibacillus paracasei Zhang",3.82,"map00520","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Lacticaseibacillus paracasei Zhang",3.62,"map00500","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Lacticaseibacillus paracasei Zhang",3.5,"map00720","Metabolism; Energy metabolism"
"Histidine metabolism","Lacticaseibacillus paracasei Zhang",3.45,"map00340","Metabolism; Amino acid metabolism"
"Glycolysis / Gluconeogenesis","Lacticaseibacillus paracasei Zhang",3.21,"map00010","Metabolism; Carbohydrate metabolism"
"Cysteine and methionine metabolism","Lacticaseibacillus paracasei Zhang",3.16,"map00270","Metabolism; Amino acid metabolism"
"Terpenoid backbone biosynthesis","Lacticaseibacillus paracasei Zhang",2.96,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Alanine; aspartate and glutamate metabolism","Lacticaseibacillus paracasei Zhang",2.84,"map00250","Metabolism; Amino acid metabolism"
"Butanoate metabolism","Lacticaseibacillus paracasei Zhang",2.75,"map00650","Metabolism; Carbohydrate metabolism"
"Streptomycin biosynthesis","Lacticaseibacillus paracasei Zhang",2.69,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"O-Antigen nucleotide sugar biosynthesis","Lacticaseibacillus paracasei Zhang",2.67,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"One carbon pool by folate","Lacticaseibacillus paracasei Zhang",2.58,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Lacticaseibacillus paracasei Zhang",2.5,"map00260","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Lacticaseibacillus paracasei Zhang",2.45,"map00640","Metabolism; Carbohydrate metabolism"
"Fructose and mannose metabolism","Lacticaseibacillus paracasei Zhang",2.12,"map00051","Metabolism; Carbohydrate metabolism"
"Drug metabolism - other enzymes","Lacticaseibacillus paracasei Zhang",2.04,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Arginine and proline metabolism","Lacticaseibacillus paracasei Zhang",1.96,"map00330","Metabolism; Amino acid metabolism"
"Methane metabolism","Lacticaseibacillus paracasei Zhang",1.89,"map00680","Metabolism; Energy metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Lacticaseibacillus paracasei Zhang",1.87,"map00400","Metabolism; Amino acid metabolism"
"Pentose and glucuronate interconversions","Lacticaseibacillus paracasei Zhang",1.86,"map00040","Metabolism; Carbohydrate metabolism"
"Valine; leucine and isoleucine degradation","Lacticaseibacillus paracasei Zhang",1.74,"map00280","Metabolism; Amino acid metabolism"
"Lysine biosynthesis","Lacticaseibacillus paracasei Zhang",1.6,"map00300","Metabolism; Amino acid metabolism"
"Polyketide sugar unit biosynthesis","Lacticaseibacillus paracasei Zhang",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"D-Amino acid metabolism","Lacticaseibacillus paracasei Zhang",1.54,"map00470","Metabolism; Metabolism of other amino acids"
"Benzoate degradation","Lacticaseibacillus paracasei Zhang",1.53,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Oxidative phosphorylation","Lacticaseibacillus paracasei Zhang",1.49,"map00190","Metabolism; Energy metabolism"
"Peptidoglycan biosynthesis","Lacticaseibacillus paracasei Zhang",1.33,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Phenylalanine metabolism","Lacticaseibacillus paracasei Zhang",1.26,"map00360","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Lacticaseibacillus paracasei Zhang",1.23,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid biosynthesis","Lacticaseibacillus paracasei Zhang",1.15,"map00061","Metabolism; Lipid metabolism"
"Glycerolipid metabolism","Lacticaseibacillus paracasei Zhang",1.15,"map00561","Metabolism; Lipid metabolism"
"Tryptophan metabolism","Lacticaseibacillus paracasei Zhang",1.04,"map00380","Metabolism; Amino acid metabolism"
"Carbon fixation in photosynthetic organisms","Lacticaseibacillus paracasei Zhang",1.03,"map00710","Metabolism; Energy metabolism"
"Vitamin B6 metabolism","Lacticaseibacillus paracasei Zhang",1.03,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Porphyrin and chlorophyll metabolism","Lacticaseibacillus paracasei Zhang",1.03,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid degradation","Lacticaseibacillus paracasei Zhang",1.01,"map00071","Metabolism; Lipid metabolism"
"alpha-Linolenic acid metabolism","Lacticaseibacillus paracasei Zhang",1.01,"map00592","Metabolism; Lipid metabolism"
"Citrate cycle (TCA cycle)","Lacticaseibacillus paracasei Zhang",0.95,"map00020","Metabolism; Carbohydrate metabolism"
"Nitrogen metabolism","Lacticaseibacillus paracasei Zhang",0.92,"map00910","Metabolism; Energy metabolism"
"Nicotinate and nicotinamide metabolism","Lacticaseibacillus paracasei Zhang",0.9,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Arginine biosynthesis","Lacticaseibacillus paracasei Zhang",0.87,"map00220","Metabolism; Amino acid metabolism"
"Biotin metabolism","Lacticaseibacillus paracasei Zhang",0.85,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Lacticaseibacillus paracasei Zhang",0.83,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Glyoxylate and dicarboxylate metabolism","Lacticaseibacillus paracasei Zhang",0.82,"map00630","Metabolism; Carbohydrate metabolism"
"Aminoacyl-tRNA biosynthesis","Lacticaseibacillus paracasei Zhang",0.8,"map00970","Genetic Information Processing; Translation"
"Fatty acid elongation","Lacticaseibacillus paracasei Zhang",0.77,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Lacticaseibacillus paracasei Zhang",0.77,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Ethylbenzene degradation","Lacticaseibacillus paracasei Zhang",0.77,"map00642","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of unsaturated fatty acids","Lacticaseibacillus paracasei Zhang",0.77,"map01040","Metabolism; Lipid metabolism"
"Dioxin degradation","Lacticaseibacillus paracasei Zhang",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Lacticaseibacillus paracasei Zhang",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","Lacticaseibacillus paracasei Zhang",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Lacticaseibacillus paracasei Zhang",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"C5-Branched dibasic acid metabolism","Lacticaseibacillus paracasei Zhang",0.64,"map00660","Metabolism; Carbohydrate metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Lacticaseibacillus paracasei Zhang",0.63,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Acarbose and validamycin biosynthesis","Lacticaseibacillus paracasei Zhang",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Tyrosine metabolism","Lacticaseibacillus paracasei Zhang",0.54,"map00350","Metabolism; Amino acid metabolism"
"Aflatoxin biosynthesis","Lacticaseibacillus paracasei Zhang",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Glutathione metabolism","Lacticaseibacillus paracasei Zhang",0.51,"map00480","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Lacticaseibacillus paracasei Zhang",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Carbapenem biosynthesis","Lacticaseibacillus paracasei Zhang",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Sulfur metabolism","Lacticaseibacillus paracasei Zhang",0.39,"map00920","Metabolism; Energy metabolism"
"Lysine degradation","Lacticaseibacillus paracasei Zhang",0.35,"map00310","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine biosynthesis","Lacticaseibacillus paracasei Zhang",0.32,"map00290","Metabolism; Amino acid metabolism"
"Selenocompound metabolism","Lacticaseibacillus paracasei Zhang",0.31,"map00450","Metabolism; Metabolism of other amino acids"
"Novobiocin biosynthesis","Lacticaseibacillus paracasei Zhang",0.3,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Lacticaseibacillus paracasei Zhang",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Lacticaseibacillus paracasei Zhang",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerophospholipid metabolism","Lacticaseibacillus paracasei Zhang",0.29,"map00564","Metabolism; Lipid metabolism"
"Riboflavin metabolism","Lacticaseibacillus paracasei Zhang",0.27,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Neomycin; kanamycin and gentamicin biosynthesis","Lacticaseibacillus paracasei Zhang",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Chloroalkane and chloroalkene degradation","Lacticaseibacillus paracasei Zhang",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Lacticaseibacillus paracasei Zhang",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Lacticaseibacillus paracasei Zhang",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Lacticaseibacillus paracasei Zhang",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Lacticaseibacillus paracasei Zhang",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of vancomycin group antibiotics","Lacticaseibacillus paracasei Zhang",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Lacticaseibacillus paracasei Zhang",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Taurine and hypotaurine metabolism","Lacticaseibacillus paracasei Zhang",0.09,"map00430","Metabolism; Metabolism of other amino acids"
"Zeatin biosynthesis","Lacticaseibacillus paracasei Zhang",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Lacticaseibacillus paracasei Zhang",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Lacticaseibacillus rhamnosus GR-1",61.08,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Lacticaseibacillus rhamnosus GR-1",24.65,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Lacticaseibacillus rhamnosus GR-1",19.54,"map01120","Microbial metabolism in diverse environments"
"Pentose and glucuronate interconversions","Lacticaseibacillus rhamnosus GR-1",6.4,"map00040","Metabolism; Carbohydrate metabolism"
"Purine metabolism","Lacticaseibacillus rhamnosus GR-1",6.18,"map00230","Metabolism; Nucleotide metabolism"
"Fructose and mannose metabolism","Lacticaseibacillus rhamnosus GR-1",5.26,"map00051","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Lacticaseibacillus rhamnosus GR-1",5.21,"map00052","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Lacticaseibacillus rhamnosus GR-1",4.76,"map00240","Metabolism; Nucleotide metabolism"
"Pyruvate metabolism","Lacticaseibacillus rhamnosus GR-1",4.32,"map00620","Metabolism; Carbohydrate metabolism"
"Amino sugar and nucleotide sugar metabolism","Lacticaseibacillus rhamnosus GR-1",4.16,"map00520","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Lacticaseibacillus rhamnosus GR-1",3.97,"map00030","Metabolism; Carbohydrate metabolism"
"Inositol phosphate metabolism","Lacticaseibacillus rhamnosus GR-1",3.96,"map00562","Metabolism; Carbohydrate metabolism"
"Glycolysis / Gluconeogenesis","Lacticaseibacillus rhamnosus GR-1",3.94,"map00010","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Lacticaseibacillus rhamnosus GR-1",3.08,"map00500","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Lacticaseibacillus rhamnosus GR-1",2.98,"map00720","Metabolism; Energy metabolism"
"Terpenoid backbone biosynthesis","Lacticaseibacillus rhamnosus GR-1",2.96,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Drug metabolism - other enzymes","Lacticaseibacillus rhamnosus GR-1",2.91,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"One carbon pool by folate","Lacticaseibacillus rhamnosus GR-1",2.58,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Lacticaseibacillus rhamnosus GR-1",2.5,"map00260","Metabolism; Amino acid metabolism"
"Cysteine and methionine metabolism","Lacticaseibacillus rhamnosus GR-1",2.25,"map00270","Metabolism; Amino acid metabolism"
"Histidine metabolism","Lacticaseibacillus rhamnosus GR-1",1.96,"map00340","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Lacticaseibacillus rhamnosus GR-1",1.92,"map00640","Metabolism; Carbohydrate metabolism"
"Porphyrin and chlorophyll metabolism","Lacticaseibacillus rhamnosus GR-1",1.91,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Alanine; aspartate and glutamate metabolism","Lacticaseibacillus rhamnosus GR-1",1.89,"map00250","Metabolism; Amino acid metabolism"
"Butanoate metabolism","Lacticaseibacillus rhamnosus GR-1",1.86,"map00650","Metabolism; Carbohydrate metabolism"
"Carbon fixation in photosynthetic organisms","Lacticaseibacillus rhamnosus GR-1",1.76,"map00710","Metabolism; Energy metabolism"
"Methane metabolism","Lacticaseibacillus rhamnosus GR-1",1.75,"map00680","Metabolism; Energy metabolism"
"Valine; leucine and isoleucine degradation","Lacticaseibacillus rhamnosus GR-1",1.74,"map00280","Metabolism; Amino acid metabolism"
"Lysine biosynthesis","Lacticaseibacillus rhamnosus GR-1",1.6,"map00300","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Lacticaseibacillus rhamnosus GR-1",1.54,"map00470","Metabolism; Metabolism of other amino acids"
